paraula,dificultat
a,1
a,1
a,1
a,1
a,1
a,1
àbac,3
abacial,3
abadanar,3
abadejo,3
abadessa,2
abadia,2
abadiat,3
abaixallengües,3
abaixar,2
abaixar,2
abaixar,2
abaixar,2
abaixament,3
abalançar,3
abalançament,3
abaltiment,3
abaltir,3
abanderar,3
abanderament,3
abandó,2
a,1
abandonar,2
abandonament,2
abans,1
abans,1
abaratir,3
abaratiment,3
abaritonat,3
abassegar,3
abassegador,3
abast,2
donar,1
donar,1
abastar,2
abastable,3
abastament,2
inabastable,3
abastir,2
abastiment,2
abat,2
abatiment,3
abatre,2
abdicar,2
abdicació,2
abdomen,2
abdominal,2
abducció,3
abduir,3
abductor,3
abecedari,3
abegot,3
abell,3
abella,2
abella,2
abellaire,3
abellar,3
abellera,3
abellerol,3
abelliment,3
abellir,3
el,1
abellidor,3
abellot,3
aberració,2
aberració,2
aberració,2
aberració,2
aberrant,3
abeurada,3
abeurador,3
abeuradora,3
abeurall,3
abeurar,3
abeuratge,3
abillament,3
abillar,3
abís,3
abismal,3
abisme,2
abissal,3
abjecte,3
abjecció,3
abjurar,3
abjuració,3
ablació,3
ablamar,3
ablanir,3
ablaniment,3
ablatiu,3
ablució,3
abnegació,3
abnegat,3
abocador,2
abocar,2
abocar,2
abocament,2
abocat,2
abolicionisme,3
abolicionista,3
abolir,2
abolició,2
inabolible,3
abominable,3
abominar,3
abominació,3
abonament,2
abonar,3
abonable,3
abonat,3
abonyegar,3
abonyegadura,3
abonyegament,3
abordar,2
abordable,3
abordador,3
abordatge,2
aborigen,2
aborronar,3
abortiu,3
abraçadora,3
abraçar,2
abraçada,2
abraçador,3
abrandament,3
abrandar,3
abrandat,3
abraonar,3
abrasar,3
abrasador,3
abrasió,3
abreujar,3
abreujadament,3
abreujament,3
abreviació,3
abreviar,3
abreviatiu,3
abreviatura,3
abric,2
a,1
abric,2
abrigall,3
abrigar,3
abril,1
abrilenc,3
abrillantar,3
abrillantador,3
abrillantament,3
abrivada,3
abrivar,3
abrivat,3
abrivadament,3
abró,3
abrogar,3
abrogació,3
abrogatiu,3
abrupte,3
abruptament,3
abruptesa,3
abrusar,3
abrusador,3
abrusament,3
abscés,3
abscissa,3
absència,2
absent,2
absenta,3
absentar,3
absentisme,3
absentista,3
absidiola,3
absis,2
absidal,3
absoldre,3
absolució,2
absolutori,3
absolta,2
absolut,2
en,1
absolutament,2
absolutisme,2
absolutista,3
absorbir,2
absorbent,3
absorbible,3
absorbidor,3
absorció,2
absort,3
abstemi,3
abstencionisme,3
abstencionista,3
abstenir,2
abstenció,2
absteniment,3
abstinència,2
abstracte,2
en,1
abstret,3
abstreure,3
abstracció,2
abstractiu,3
abstrús,3
abstrusament,3
abstrusitat,3
absurdament,3
absurditat,2
abúlia,3
abúlic,3
abundància,2
abundant,2
abundantment,3
abundar,3
abundor,3
abundós,3
abundosament,3
aburgesar,3
aburgesament,3
abusar,2
abús,2
abusiu,2
abusivament,3
acabalat,3
acaballes,2
acabament,2
acabar,1
acabar,1
acabar,1
en,1
no,1
inacabat,3
