paraula,dificultat
abacial,3
abadanar,3
abadejo,3
abadessa,2
abadia,2
abadiat,3
abaixar,2
abaixar,2
abaixar,2
abaixar,2
abaltir,3
abandó,2
abans,1
abans,1
abaratir,3
abast,2
donar,1
donar,1
abastar,2
abastir,2
abatre,2
abdicar,2
abdomen,2
abducció,3
abduir,3
abductor,3
abegot,3
abell,3
abella,2
abella,2
abellar,3
abellera,3
abellir,3
abellot,3
aberrant,3
abeurada,3
abeurall,3
abeurar,3
abillar,3
abismal,3
abisme,2
abissal,3
abjecte,3
abjecció,3
abjurar,3
ablació,3
ablamar,3
ablanir,3
ablatiu,3
ablució,3
abnegat,3
abocador,2
abocar,2
abocar,2
abocat,2
abolir,2
abolició,2
abominar,3
abonar,3
abonable,3
abonat,3
abordar,2
aborigen,2
abortiu,3
abraçar,2
abraçada,2
abrandar,3
abrandat,3
abraonar,3
abrasar,3
abrasió,3
abreujar,3
abreviar,3
abric,2
abric,2
abrigall,3
abrigar,3
abril,1
abrilenc,3
abrivada,3
abrivar,3
abrivat,3
abrogar,3
abrupte,3
abrusar,3
abscés,3
abscissa,3
absència,2
absent,2
absenta,3
absentar,3
absis,2
absidal,3
absoldre,3
absolta,2
absolut,2
absorbir,2
absorció,2
absort,3
abstemi,3
abstenir,2
abstret,3
abstrús,3
abúlia,3
abúlic,3
abundant,2
abundar,3
abundor,3
abundós,3
abusar,2
abusiu,2
acabalat,3
acabar,1
acabar,1
acabar,1
inacabat,3
acaçar,3
acàcia,3
acadèmia,2
acalar,3
acalorar,3
acalorat,3
acampar,2
acampada,2
acanalar,3
acanalat,3
acanar,3
acant,3
acaparar,3
acaptar,3
acapte,3
acarar,3
acaronar,3
acatar,2
acaule,3
accedir,2
accent,2
accent,2
accent,2
accent,2
accent,2
posar,1
accepció,2
acceptar,2
accés,1
accèssit,3
accident,2
acció,1
accionar,3
acefàlia,3
aceràcia,3
acerat,3
acerb,3
acereria,3
acèrrim,3
acetat,3
acetat,3
acetat,3
acètic,3
acetona,3
acícula,3
acicular,3
acidesa,2
aciditat,3
acídul,3
aclamar,3
aclarida,3
aclarir,2
aclofar,3
aclucar,3
aclucar,3
aclucada,3
acneic,3
acoblar,3
acòlit,3
acollir,2
acollida,2
acolorir,3
acolorit,3
acomodar,2
acomodat,3
acomplir,2
acompte,3
aconduir,3
acorar,3
acord,1
acord,1
posar,1
prendre,1
acordar,2
acordió,2
acórrer,3
acostar,2
acotació,3
acotar,3
acotxar,3
acràcia,3
acràtic,3
àcrata,3
acritud,3
acréixer,3
acrídid,3
acròbata,3
acrònim,2
acròpoli,3
actini,3
actínia,3
actínid,3
actitud,2
actiu,2
actiu,2
activar,2
actuació,2
actual,1
actuar,2
actuant,2
acubar,3
acudir,2
acudit,2
acufen,3
acuit,3
acuitar,3
acuïtat,3
acular,3
aculeat,3
aculi,3
acúmetre,3
acumular,2
acurat,2
acurçar,3
acurtar,3
acusació,2
acusador,3
acusar,2
acusar,2
acusat,2
acústic,2
acústica,2
adagi,3
adamantí,3
adaptar,2
addenda,3
addicció,2
addició,2
addicte,2
addictiu,3
adduir,3
adducció,3
adductor,3
adduïble,3
adelerat,3
adelitar,3
adenitis,3
adenoide,3
adepte,3
adequar,2
adequat,2
adesiara,3
adherent,3
adherir,2
adhesió,2
àdhuc,2
adient,2
adinerat,3
adipós,3
adiposi,3
adjacent,2
adjectiu,2
adjectiu,2
adjectiu,2
adjectiu,2
adjuntar,3
adjunció,3
adjurar,3
adjutori,3
adlàter,3
admetre,2
admirar,2
admissió,2
tenir,1
adobador,3
adobar,3
adober,3
adoberia,3
adolorir,3
adolorit,3
adonar,2
adonis,2
adoptand,3
adoptant,2
adoptar,2
adopció,2
adoptiu,2
adorable,3
adoració,2
adorar,3
adorador,3
adormir,2
adormit,2
adorn,3
adornar,3
adossar,3
adquirir,2
adreç,3
adreça,2
adreça,2
adreçar,2
adriàtic,3
adroguer,3
adstrat,3
adular,3
adulació,3
adulador,3
adult,2
adúlter,3
adulterí,3
adulteri,2
adust,3
adustesa,3
advenir,3
advent,3
adverar,3
adverbi,3
adverbi,3
advers,3
advertir,2
advocar,3
advocat,2
advocat,2
advocat,2
aerobús,3
aerodina,3
aeròdrom,2
aerògraf,3
aeròlit,3
aeronau,2
aeroplà,3
aeroport,2
aerosol,3
aeròstat,3
aerotaxi,3
aerotrèn,3
afable,3
afaenat,3
afaitar,2
afaitada,3
afaitat,3
afalac,3
afalagar,3
afamat,3
afamegat,3
afanar,3
afany,2
afanyar,2
afanyós,3
afartar,3
afàsia,3
afàsic,3
afavorir,2
afeblir,2
afecció,2
afectar,2
afectat,2
afectiu,3
afectuós,2
afegir,2
afegir,2
afegit,2
afegitó,3
afeli,3
afers,2
afèresi,3
afermar,3
aferrar,3
afiblall,3
afició,2
afídid,3
afigurar,3
afilador,3
afilar,3
afilerar,3
afiliar,2
afillar,3
afillat,3
afil·le,3
afinador,3
afinar,2
afinació,3
afinitat,2
afirmar,2
afitorar,3
afixar,3
afixació,3
aflacar,3
aflamar,3
aflaquir,3
aflautat,3
aflicció,3
afligir,3
aflictiu,3
aflorar,3
afluir,3
afluixar,2
afluixar,2
afluixar,2
afogar,3
afollar,3
afonar,3
afonia,3
afònic,3
aforar,3
aforat,3
afores,2
aforisme,3
afòtic,3
afrau,3
africà,2
africat,3
afront,3
afrontar,2
afrontós,3
afruitat,3
afuar,3
afuament,3
afuat,3
agafada,2
agafador,3
agafar,2
agafar,2
agafar,2
agafar,2
agafar,2
agafar,2
agafatós,3
àgape,3
agarbar,3
agàric,3
agarical,3
agarrada,3
agarrar,3
agarrat,3
àgata,3
agavàcia,3
agave,3
agençar,3
agència,2
agenciar,3
agenda,2
agent,2
agent,2
agent,2
agentiu,3
agilitat,2
àgilment,3
agilitar,3
agitanat,3
agitar,3
agitació,2
agitat,3
agnació,3
agnat,3
agnòstic,3
agonia,2
agònic,3
àgora,2
agosarat,2
agost,1
agostenc,3
agostar,3
agraciar,3
agraciat,3
agradar,2
agradós,3
agrair,2
agraït,2
agram,3
agranar,3
agrari,2
agràs,3
agrassó,3
agrament,3
agror,3
agredir,2
agressor,2
agregar,2
agrejar,3
agrella,3
agremiar,3
agrenc,3
agressió,2
agressiu,2
agrest,3
agreujar,2
agrícola,2
agrir,3
agrisar,3
agrònom,3
agrupar,2
aguait,3
aguaitar,3
aguant,3
aguantar,2
aguantar,2
agudesa,2
aguerrit,3
aguilenc,3
aguiló,2
aguilot,3
agulla,2
agulla,2
agulla,2
agullat,3
agulleta,3
agulló,2
agusar,3
agustí,2
agutzil,3
aidar,3
aigua,1
aigua,1
aigua,1
aigua,1
aigua,1
aigua,1
aigua,1
aigua,1
aigua,1
aigua,1
aigües,2
aigües,2
aigües,2
aigües,2
aigües,2
aigües,2
aigües,2
aiguada,3
aigualir,3
aigualit,3
aiguamel,3
aiguanaf,3
aiguaneu,3
aiguat,3
aiguatge,3
aiguavés,3
aigüera,3
aigüerol,3
aïllar,2
aïllable,3
aïllador,3
aïllant,2
aïllat,2
aimia,3
aiorí,3
airada,3
aïrar,3
aires,2
tenir,1
airejar,3
aireig,3
airós,3
desairós,3
aital,3
aixada,3
aixadell,3
aixafar,2
aixafar,2
aixafada,3
aixarop,3
aixecar,2
aixecar,2
aixecar,2
aixecar,2
aixecar,2
aixecar,2
aixecar,2
aixecar,2
aixecar,2
aixecar,2
aixecada,2
aixecat,2
aixella,3
aixeta,2
aixopluc,2
aixovar,3
aïzoàcia,3
ajaçar,3
ajeure,3
ajocar,3
ajornar,2
ajuda,1
ajudant,2
ajudar,1
ajudar,1
ajuntar,2
ajupir,3
ajust,2
ajustar,2
ajustat,2
donar,1
alabar,3
alabat,3
alabança,3
alabarda,3
alabatre,3
alabès,3
alacantí,2
alacrà,3
aladern,3
aladre,3
aladroc,3
alambí,3
alarb,3
alardó,3
alarit,3
alarma,2
falsa,2
alarmar,3
alarmant,2
alatxa,3
alàudid,3
albada,2
albarà,3
albarda,3
albat,3
albatros,3
albelló,3
àlber,3
albera,2
albereda,3
alberg,2
albergar,2
albigès,3
albir,3
albirar,2
albor,3
albufera,2
àlbum,2
albumen,3
albúmina,3
alçacoll,3
alçada,2
alcaid,3
alcaidia,3
alcaldia,2
alcalí,3
àlcali,3
alçaprem,3
alçar,2
alçar,2
alçar,2
alçar,2
alçar,2
alçar,2
alçar,2
alçar,2
alçament,2
alçària,3
alçària,3
alcàsser,2
alcavot,3
àlcid,3
alcohol,2
alcohol,2
alcoià,2
alcorà,2
alcorí,3
alcova,3
aldarull,3
alduf,3
aleatori,2
